"Ma","Points:0","Points:1","Points:2","T","U:0","U:1","U:2","p"
0.24205,0.14545,0.15925,0,494.21,5.3756,-0.23742,0,8.096e+05
0.24241,0.15455,0.15925,0,494.19,5.3829,-0.25375,0,8.0951e+05
0.24281,0.16364,0.15925,0,494.17,5.3909,-0.27142,0,8.0941e+05
0.24326,0.17273,0.15925,0,494.15,5.3998,-0.29046,0,8.0929e+05
0.24376,0.18182,0.15925,0,494.13,5.4097,-0.31093,0,8.0916e+05
0.24431,0.19091,0.15925,0,494.1,5.4204,-0.33286,0,8.0901e+05
0.24501,0.2,0.15925,0,494.07,5.4339,-0.36005,-8.674e-21,8.0884e+05
0.23922,0,0.17938,0,494.34,5.3174,-0.12562,0,8.1033e+05
0.23923,0.0090909,0.17938,0,494.34,5.3175,-0.12578,0,8.1033e+05
0.23925,0.018182,0.17938,0,494.34,5.318,-0.12661,0,8.1032e+05
0.23928,0.027273,0.17938,0,494.34,5.3185,-0.12858,0,8.1031e+05
0.23931,0.036364,0.17938,0,494.34,5.3191,-0.1317,0,8.1031e+05
0.23934,0.045455,0.17938,0,494.34,5.3197,-0.13576,0,8.103e+05
0.23938,0.054545,0.17938,0,494.33,5.3203,-0.14071,0,8.1029e+05
0.23942,0.063636,0.17938,0,494.33,5.3211,-0.14658,0,8.1028e+05
0.23947,0.072727,0.17938,0,494.33,5.322,-0.15341,0,8.1027e+05
0.23953,0.081818,0.17938,0,494.33,5.3231,-0.16127,0,8.1025e+05
0.2396,0.090909,0.17938,0,494.32,5.3244,-0.17019,0,8.1023e+05
0.23969,0.1,0.17938,0,494.32,5.326,-0.1802,0,8.1021e+05
0.23979,0.10909,0.17938,0,494.32,5.3278,-0.19137,0,8.1019e+05
0.23991,0.11818,0.17938,0,494.31,5.33,-0.20374,0,8.1016e+05
0.24005,0.12727,0.17938,0,494.3,5.3326,-0.21737,0,8.1012e+05
0.24022,0.13636,0.17938,0,494.3,5.3356,-0.23233,0,8.1008e+05
0.24041,0.14545,0.17938,0,494.29,5.3391,-0.24866,0,8.1003e+05
0.24064,0.15455,0.17938,0,494.28,5.3433,-0.26643,0,8.0997e+05
0.2409,0.16364,0.17938,0,494.26,5.3481,-0.28573,0,8.099e+05
0.24121,0.17273,0.17938,0,494.25,5.3537,-0.30658,0,8.0983e+05
0.24156,0.18182,0.17938,0,494.23,5.3602,-0.32905,0,8.0974e+05
0.24197,0.19091,0.17938,0,494.21,5.3675,-0.35318,0,8.0963e+05
0.24249,0.2,0.17938,0,494.19,5.377,-0.38322,-2.5277e-24,8.0951e+05
0.23921,0,0.19802,0,494.34,5.317,-0.12464,0,8.1033e+05
0.23918,0.0090909,0.19802,0,494.34,5.3165,-0.12481,0,8.1033e+05
0.23912,0.018182,0.19802,0,494.35,5.315,-0.12566,0,8.1034e+05
0.23904,0.027273,0.19802,0,494.35,5.3132,-0.12769,0,8.1036e+05
0.23896,0.036364,0.19802,0,494.35,5.3115,-0.13089,0,8.1039e+05
0.23891,0.045455,0.19802,0,494.36,5.3102,-0.13508,0,8.104e+05
0.23886,0.054545,0.19802,0,494.36,5.3089,-0.14017,0,8.1042e+05
0.23881,0.063636,0.19802,0,494.36,5.3077,-0.14623,0,8.1043e+05
0.23876,0.072727,0.19802,0,494.36,5.3065,-0.15329,0,8.1044e+05
0.23873,0.081818,0.19802,0,494.37,5.3054,-0.16142,0,8.1045e+05
0.23869,0.090909,0.19802,0,494.37,5.3044,-0.17067,0,8.1046e+05
0.23867,0.1,0.19802,0,494.37,5.3036,-0.18109,0,8.1047e+05
0.23866,0.10909,0.19802,0,494.37,5.303,-0.19275,0,8.1047e+05
0.23866,0.11818,0.19802,0,494.37,5.3025,-0.20571,0,8.1047e+05
0.23868,0.12727,0.19802,0,494.37,5.3023,-0.22003,0,8.1047e+05
0.23872,0.13636,0.19802,0,494.37,5.3024,-0.23579,0,8.1046e+05
0.23877,0.14545,0.19802,0,494.36,5.3029,-0.25306,0,8.1045e+05
0.23886,0.15455,0.19802,0,494.36,5.3038,-0.27193,0,8.1043e+05
0.23898,0.16364,0.19802,0,494.35,5.3053,-0.29248,0,8.104e+05
0.23913,0.17273,0.19802,0,494.35,5.3075,-0.31476,0,8.1037e+05
0.23933,0.18182,0.19802,0,494.34,5.3104,-0.33885,0,8.1032e+05
0.23958,0.19091,0.19802,0,494.33,5.3141,-0.3648,0,8.1026e+05
0.23993,0.2,0.19802,0,494.31,5.3194,-0.39729,-2.1728e-20,8.1018e+05
0.23919,0,0.21528,0,494.34,5.3167,-0.12063,0,8.1034e+05
0.23913,0.0090909,0.21528,0,494.35,5.3154,-0.12079,0,8.1034e+05
0.23898,0.018182,0.21528,0,494.35,5.3122,-0.12165,0,8.1036e+05
0.2388,0.027273,0.21528,0,494.36,5.3081,-0.12369,0,8.1041e+05
0.23864,0.036364,0.21528,0,494.37,5.3044,-0.12689,0,8.1046e+05
0.2385,0.045455,0.21528,0,494.38,5.3012,-0.13109,0,8.105e+05
0.23836,0.054545,0.21528,0,494.38,5.2982,-0.1362,0,8.1054e+05
0.23823,0.063636,0.21528,0,494.39,5.2951,-0.14229,0,8.1057e+05
0.23809,0.072727,0.21528,0,494.39,5.2919,-0.14941,0,8.1061e+05
0.23796,0.081818,0.21528,0,494.4,5.2887,-0.15762,0,8.1065e+05
0.23783,0.090909,0.21528,0,494.41,5.2855,-0.16699,0,8.1068e+05
0.2377,0.1,0.21528,0,494.41,5.2823,-0.17757,0,8.1072e+05
0.23757,0.10909,0.21528,0,494.42,5.2791,-0.18946,0,8.1075e+05
0.23746,0.11818,0.21528,0,494.42,5.2761,-0.20271,0,8.1078e+05
0.23735,0.12727,0.21528,0,494.43,5.2731,-0.21741,0,8.1081e+05
0.23725,0.13636,0.21528,0,494.43,5.2703,-0.23366,0,8.1084e+05
0.23717,0.14545,0.21528,0,494.44,5.2677,-0.25156,0,8.1086e+05
0.23711,0.15455,0.21528,0,494.44,5.2654,-0.27118,0,8.1088e+05
0.23708,0.16364,0.21528,0,494.44,5.2635,-0.29261,0,8.1089e+05
0.23708,0.17273,0.21528,0,494.44,5.2621,-0.31595,0,8.109e+05
0.23711,0.18182,0.21528,0,494.44,5.2614,-0.34131,0,8.1089e+05
0.23719,0.19091,0.21528,0,494.44,5.2613,-0.36875,0,8.1087e+05
0.23735,0.2,0.21528,0,494.43,5.2622,-0.40328,1.926e-20,8.1084e+05
0.23917,0,0.23127,0,494.34,5.3163,-0.11423,0,8.1034e+05
0.23908,0.0090909,0.23127,0,494.35,5.3145,-0.11439,0,8.1034e+05
0.23886,0.018182,0.23127,0,494.36,5.3096,-0.11523,0,8.1038e+05
0.23858,0.027273,0.23127,0,494.37,5.3035,-0.11722,0,8.1046e+05
0.23833,0.036364,0.23127,0,494.38,5.2979,-0.12036,0,8.1053e+05
